udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
430,100225644,122698,,,46,
430,100227626,122698,,,48,
430,100227627,122698,,,50,
430,100227628,122698,,,52,
430,100227629,122698,,,54,
430,100227630,122698,,,2,
430,100227631,122698,,,56,
430,100227632,122698,,,59,
430,100227633,122698,,,60,
430,100227634,122698,,,61,
430,100227635,122698,,,63,
430,100227636,122698,,,70,
430,100227637,122698,,,78,
430,100227638,122698,,,110,
430,100227639,122698,,,139,
430,100227640,122698,,,150,
430,100227641,122698,,,193,
430,100227642,122698,,,200,
430,100227643,122698,,,212,
430,100227644,122698,,,225,
430,100227645,122698,,,238,
430,100227646,122698,,,250,
430,100227647,122698,,,213,
430,100227648,122698,,,226,
430,100227649,122698,,,267,
430,100227650,122698,,,210,
430,100227651,122698,,,208,
430,100227652,122698,,,142,
430,100227653,122698,,,158,
430,100227654,122698,,,377,
430,100227655,122698,,,398,
430,100227656,122698,,,433,
430,100227657,122698,,,434,
430,100227658,122698,,,207,
430,100227659,122698,,,218,
430,100227660,122698,,,235,
430,100227661,122698,,,453,
430,100227662,122698,,,454,
430,100227663,122698,,,193,
430,100227664,122698,,,193,
430,100227665,122698,,,218,
430,100227666,122698,,,218,
430,100227667,122698,,,238,
430,100227668,122698,,,238,
430,100227669,122698,,,238,
430,100227670,122698,,,489,
430,100227671,122698,,,113,
430,100227692,122698,,,259,
430,100227693,122698,,,1063,
430,100227694,122698,,,1064,
430,100227695,122698,,,1066,
430,100227696,122698,,,259,
430,100227697,122698,,,259,
430,100227699,122698,,,945,
430,100227700,122698,,,1066,
430,100227701,122698,,,443,
430,100227702,122698,,,259,
430,100227703,122698,,,259,
430,100227704,122698,,,1063,
430,100227705,122698,,,1064,
430,100227706,122698,,,259,
430,100227707,122698,,,259,
430,100227708,122698,,,1066,
430,100227709,122698,,,1063,
430,100227710,122698,,,1064,
430,100227711,122698,,,259,
430,100227712,122698,,,259,
430,100227713,122698,,,1066,
430,100227715,122698,,,1064,
430,100227746,122698,,,1067,
430,100227750,122698,,,1066,
430,100227751,122698,,,1066,
430,100227752,122698,,,1066,
430,100227753,122698,,,1066,
430,100227754,122698,,,1066,
430,100227755,122698,,,1066,
430,100227756,122698,,,1066,
430,100227757,122698,,,1066,
430,100227758,122698,,,1066,
430,100227759,122698,,,1066,
430,100227762,122698,,,1066,
430,100227763,122698,,,1066,
430,100227764,122698,,,1066,
430,100227765,122698,,,1066,
430,100227766,122698,,,1066,
430,100227767,122698,,,1066,
430,100227770,122698,,,1066,
430,100227771,122698,,,1066,
430,100227772,122698,,,1066,
430,100227773,122698,,,1066,
430,100227774,122698,,,1066,
430,100227776,122698,,,1066,
430,100227777,122698,,,1066,
430,100227778,122698,,,1066,
430,100227779,122698,,,1066,
430,100227780,122698,,,1066,
430,100227781,122698,,,1066,
430,100227782,122698,,,1066,
430,100227783,122698,,,1066,
430,100227784,122698,,,1066,
430,100227785,122698,,,1066,
430,100227788,122698,,,1066,
430,100227789,122698,,,1066,
430,100227790,122698,,,1066,
430,100227791,122698,,,1066,
430,100227792,122698,,,1066,
430,100227794,122698,,,1066,
430,100227795,122698,,,1066,
430,100227796,122698,,,1066,
430,100227797,122698,,,1066,
430,100227798,122698,,,1066,
430,100227801,122698,,,1066,
430,100227802,122698,,,1066,
430,100227803,122698,,,1066,
430,100227804,122698,,,1066,
430,100227806,122698,,,1066,
430,100227808,122698,,,1066,
430,100227809,122698,,,1066,
430,100227810,122698,,,1066,
